지금 내 감정 서술,이모지
울고 싶다,😢
모든 게 잘 풀리는 느낌,😊
잠만 자고 싶어,😴
기분이 다운돼,😢
무슨 일이 일어날지 몰라 불안하다,😰
잠만 자고 싶어,😴
기분 최고야,😊
소름 돋는 소식,😲
심장이 두근거려,😰
몸이 천근만근이다,😴
마음이 편안하다,😌
울고 싶다,😢
믿을 수 없는 일이야,😲
믿을 수 없는 일이야,😲
기분이 다운돼,😢
화가 치민다,😡
행복하다,😊
에너지가 다 떨어졌어,😩
엄청난 일이 일어났다,😲
짜증나 죽겠어,😡
완전 짜증,😡
마음이 편안하다,😌
행복한 사랑의 기운이 가득하다,😍
분노가 폭발할 것 같아,😡
너무 슬프다,😢
너무 피곤해,😩
기분이 가라앉는다,😔
완전히 탈진한 상태다,😴
긴장감을 주체할 수 없다,😰
체력이 바닥났다,😩
긴장돼서 손이 떨린다,😰
여유롭다,😌
너무 피곤해,😩
짜증나 죽겠어,😡
모든 게 제자리에 있는 느낌,😌
완전히 탈진한 상태다,😴
마음이 편안하다,😌
믿을 수 없는 일이야,😲
모든 게 제자리에 있는 느낌,😌
소름 돋는 소식,😲
무기력하다,😴
눈물이 멈추지 않는다,😢
행복한 사랑의 기운이 가득하다,😍
편안한 하루다,😌
행복하다,😊
잠만 자고 싶어,😴
잠만 자고 싶어,😴
마음이 무겁다,😔
마음이 무겁다,😔
몸이 천근만근이다,😴
웃음이 멈추지 않아,😊
행복하다,😊
평화롭다,😌
평화롭다,😌
웃음이 멈추지 않아,😊
울고 싶다,😢
침울한 기분이 든다,😔
정말 충격적이다,😲
화가 치민다,😡
긴장감을 주체할 수 없다,😰
모든 게 제자리에 있는 느낌,😌
아무것도 하기 싫다,😴
여유롭다,😌
모든 게 잘 풀리는 느낌,😊
모든 게 잘 풀리는 느낌,😊
눈이 감길 것 같아,😩
마음이 무겁다,😔
몸이 천근만근이다,😴
평화롭다,😌
짜증나 죽겠어,😡
기분 최고야,😊
모든 게 아름답게 보인다,😍
짜증나 죽겠어,😡
행복한 사랑의 기운이 가득하다,😍
잠만 자고 싶어,😴
엄청난 일이 일어났다,😲
긴장돼서 손이 떨린다,😰
엄청난 일이 일어났다,😲
사랑이 넘친다,😍
지쳤다,😩
우울한 날이야,😔
눈물이 멈추지 않는다,😢
의욕이 없어,😔
행복한 사랑의 기운이 가득하다,😍
심장이 두근거려,😰
마음이 편안하다,😌
기분이 가라앉는다,😔
짜증나 죽겠어,😡
침울한 기분이 든다,😔
오늘 너무 즐겁다,😊
심장이 빠르게 뛴다,😍
모든 게 제자리에 있는 느낌,😌
심장이 빠르게 뛴다,😍
떨려,😰
기분이 다운돼,😢
화가 치민다,😡
편안한 하루다,😌
편안한 하루다,😌
에너지가 다 떨어졌어,😩
소름 돋는 소식,😲
여유롭다,😌
모든 게 잘 풀리는 느낌,😊
모든 게 잘 풀리는 느낌,😊
평화롭다,😌
모든 게 제자리에 있는 느낌,😌
심장이 빠르게 뛴다,😍
웃음이 멈추지 않아,😊
울고 싶다,😢
모든 게 아름답게 보인다,😍
행복하다,😊
지쳤다,😩
짜증나 죽겠어,😡
행복하다,😊
기분 최고야,😊
화가 치민다,😡
무기력하다,😴
아무것도 하기 싫다,😴
기분이 다운돼,😢
긴장돼서 손이 떨린다,😰
너무 슬프다,😢
몸이 천근만근이다,😴
너무 피곤해,😩
모든 게 잘 풀리는 느낌,😊
우울한 날이야,😔
마음이 편안하다,😌
마음이 너무 아프다,😢
심장이 빠르게 뛴다,😍
모든 게 아름답게 보인다,😍
긴장돼서 손이 떨린다,😰
정말 충격적이다,😲
깜짝 놀랐다,😲
평화롭다,😌
기분 최고야,😊
너무 슬프다,😢
행복하다,😊
평화롭다,😌
에너지가 다 떨어졌어,😩
눈이 감길 것 같아,😩
모든 게 아름답게 보인다,😍
오늘 너무 즐겁다,😊
마음이 편안하다,😌
소름 돋는 소식,😲
깜짝 놀랐다,😲
마음이 편안하다,😌
무슨 일이 일어날지 몰라 불안하다,😰
깜짝 놀랐다,😲
기분이 가라앉는다,😔
에너지가 다 떨어졌어,😩
몸이 천근만근이다,😴
행복하다,😊
믿을 수 없는 일이야,😲
심장이 빠르게 뛴다,😍
정말 충격적이다,😲
너무 피곤해,😩
너무 피곤해,😩
우울한 날이야,😔
잠만 자고 싶어,😴
마음이 무겁다,😔
너무 슬프다,😢
마음이 편안하다,😌
엄청난 일이 일어났다,😲
너무 슬프다,😢
지쳤다,😩
기분 최고야,😊
의욕이 없어,😔
참을 수 없을 만큼 화가 난다,😡
눈물이 멈추지 않는다,😢
기분 최고야,😊
우울한 날이야,😔
모든 게 잘 풀리는 느낌,😊
눈물이 멈추지 않는다,😢
지쳤다,😩
기분이 다운돼,😢
기분이 다운돼,😢
오늘 너무 즐겁다,😊
여유롭다,😌
심장이 두근거려,😰
모든 게 아름답게 보인다,😍
심장이 빠르게 뛴다,😍
잠만 자고 싶어,😴
웃음이 멈추지 않아,😊
기분 최고야,😊
기분 최고야,😊
모든 게 아름답게 보인다,😍
모든 게 아름답게 보인다,😍
눈이 감길 것 같아,😩
믿을 수 없는 일이야,😲
사랑이 넘친다,😍
행복하다,😊
침울한 기분이 든다,😔
마음이 너무 아프다,😢
긴장감을 주체할 수 없다,😰
너무 피곤해,😩
정말 충격적이다,😲
긴장돼서 손이 떨린다,😰
편안한 하루다,😌
너무 피곤해,😩
완전 짜증,😡
체력이 바닥났다,😩
울고 싶다,😢
오늘 너무 즐겁다,😊
우울한 날이야,😔
울고 싶다,😢
오늘 너무 즐겁다,😊
눈이 감길 것 같아,😩
분노가 폭발할 것 같아,😡
행복한 사랑의 기운이 가득하다,😍
참을 수 없을 만큼 화가 난다,😡
마음이 무겁다,😔
우울한 날이야,😔
우울한 날이야,😔
의욕이 없어,😔
믿을 수 없는 일이야,😲
지쳤다,😩
짜증나 죽겠어,😡
체력이 바닥났다,😩
소름 돋는 소식,😲
너무 설렌다,😍
의욕이 없어,😔
우울한 날이야,😔
완전 짜증,😡
여유롭다,😌
정말 충격적이다,😲
짜증나 죽겠어,😡
화가 치민다,😡
엄청난 일이 일어났다,😲
정말 충격적이다,😲
믿을 수 없는 일이야,😲
지쳤다,😩
모든 게 아름답게 보인다,😍
눈물이 멈추지 않는다,😢
짜증나 죽겠어,😡
아무것도 하기 싫다,😴
모든 게 아름답게 보인다,😍
너무 슬프다,😢
너무 설렌다,😍
마음이 너무 아프다,😢
사랑이 넘친다,😍
마음이 무겁다,😔
너무 피곤해,😩
몸이 천근만근이다,😴
몸이 천근만근이다,😴
기분 최고야,😊
몸이 천근만근이다,😴
엄청난 일이 일어났다,😲
침울한 기분이 든다,😔
사랑이 넘친다,😍
우울한 날이야,😔
너무 슬프다,😢
몸이 천근만근이다,😴
엄청난 일이 일어났다,😲
긴장감을 주체할 수 없다,😰
의욕이 없어,😔
아무것도 하기 싫다,😴
웃음이 멈추지 않아,😊
떨려,😰
눈물이 멈추지 않는다,😢
편안한 하루다,😌
아무것도 하기 싫다,😴
모든 게 제자리에 있는 느낌,😌
모든 게 제자리에 있는 느낌,😌
떨려,😰
무기력하다,😴
무기력하다,😴
엄청난 일이 일어났다,😲
기분 최고야,😊
에너지가 다 떨어졌어,😩
소름 돋는 소식,😲
체력이 바닥났다,😩
분노가 폭발할 것 같아,😡
아무것도 하기 싫다,😴
완전히 탈진한 상태다,😴
눈물이 멈추지 않는다,😢
너무 슬프다,😢
여유롭다,😌
모든 게 아름답게 보인다,😍
몸이 천근만근이다,😴
